dataset,seed,raw_auc_all,raw_auc_test,conformal_auc,n_cal,n_test,anomalies_in_C,anomalies_in_T,pi_test,fpr@0.01,tpr@0.01,flagged@0.01,theory_max_flagged@0.01,identity_gap@0.01,fpr@0.02,tpr@0.02,flagged@0.02,theory_max_flagged@0.02,identity_gap@0.02,fpr@0.05,tpr@0.05,flagged@0.05,theory_max_flagged@0.05,identity_gap@0.05,fpr@0.1,tpr@0.1,flagged@0.1,theory_max_flagged@0.1,identity_gap@0.1
acm,0,0.6655558345422758,0.671624119209888,0.671572138154095,1780,4155,81,220,0.05294825511432,0.0063532401524777,0.0045454545454545,0.0062575210589651,0.0095451993262212,8.673617379884035e-19,0.0147395171537484,0.0181818181818181,0.0149217809867629,0.0196518809657495,0.0,0.0447268106734434,0.0681818181818181,0.0459687123947051,0.0499719258843346,6.938893903907228e-18,0.0950444726810673,0.1454545454545454,0.0977135980746089,0.0999438517686692,1.3877787807814457e-17
acm,1,0.6270097893340278,0.6275920281125,0.6276239627504365,1780,4155,82,202,0.0486161251504211,0.0068302555021502,0.0049504950495049,0.0067388688327316,0.0095451993262212,0.0,0.0184669870984062,0.0148514851485148,0.0182912154031287,0.0196518809657495,3.469446951953614e-18,0.0551479888692132,0.0841584158415841,0.0565583634175691,0.0499719258843346,6.938893903907228e-18,0.1087781431823931,0.1386138613861386,0.1102286401925391,0.0999438517686692,0.0
acm,2,0.67468489999876,0.6854964915578906,0.685499032066297,1780,4155,92,199,0.0478941034897713,0.0068250758341759,0.0150753768844221,0.0072202166064981,0.0095451993262212,0.0,0.0212335692618806,0.0351758793969849,0.0219013237063778,0.0196518809657495,3.469446951953614e-18,0.0505561172901921,0.0954773869346733,0.0527075812274368,0.0499719258843346,6.938893903907228e-18,0.102123356926188,0.1407035175879397,0.103971119133574,0.0999438517686692,1.3877787807814457e-17
acm,3,0.6698272762216518,0.6799395348405538,0.6799830391283365,1780,4155,69,219,0.0527075812274368,0.0073678861788617,0.0136986301369863,0.0077015643802647,0.0095451993262212,8.673617379884035e-19,0.0160060975609756,0.0273972602739726,0.0166064981949458,0.0196518809657495,0.0,0.0518292682926829,0.0593607305936073,0.0522262334536702,0.0499719258843346,6.938893903907228e-18,0.0983231707317073,0.136986301369863,0.1003610108303249,0.0999438517686692,1.3877787807814457e-17
acm,4,0.7446500421579934,0.7399500246561606,0.7399707441187805,1780,4155,97,247,0.0594464500601684,0.0061412487205731,0.020242914979757,0.0069795427196149,0.0095451993262212,0.0,0.0127942681678608,0.0526315789473684,0.0151624548736462,0.0196518809657495,0.0,0.0504094165813715,0.1336032388663967,0.0553549939831528,0.0499719258843346,0.0,0.0954452405322415,0.2469635627530364,0.1044524669073405,0.0999438517686692,0.0
blogcatalog,0,0.6373698563287382,0.6582161539569036,0.6583361328406201,561,1311,33,67,0.0511060259344012,0.0064308681672025,0.0,0.0061022120518688,0.0088967971530249,0.0,0.0209003215434083,0.0149253731343283,0.0205949656750572,0.0195729537366548,3.469446951953614e-18,0.0618971061093247,0.0298507462686567,0.0602593440122044,0.0498220640569395,6.938893903907228e-18,0.1028938906752411,0.044776119402985,0.0999237223493516,0.099644128113879,1.3877787807814457e-17
blogcatalog,1,0.6332726719601339,0.6589428263214671,0.6588996763754046,561,1311,28,75,0.05720823798627,0.0040453074433656,0.0,0.003813882532418,0.0088967971530249,4.336808689942019e-19,0.0088996763754045,0.0,0.0083905415713196,0.0195729537366548,1.734723475976807e-18,0.0558252427184466,0.0133333333333333,0.053394355453852,0.0498220640569395,0.0,0.1019417475728155,0.1066666666666666,0.1022120518688024,0.099644128113879,1.3877787807814457e-17
blogcatalog,2,0.6492140741685,0.6539572786763799,0.653932584269663,561,1311,26,65,0.049580472921434,0.0048154093097913,0.0,0.0045766590389016,0.0088967971530249,0.0,0.0120385232744783,0.0153846153846153,0.0122044241037376,0.0195729537366548,0.0,0.0377207062600321,0.0615384615384615,0.0389016018306636,0.0498220640569395,6.938893903907228e-18,0.0906902086677367,0.2461538461538461,0.0983981693363844,0.099644128113879,1.3877787807814457e-17
blogcatalog,3,0.6724066871929947,0.6699934426229509,0.6701704918032787,561,1311,25,61,0.0465293668954996,0.0088,0.0163934426229508,0.0091533180778032,0.0088967971530249,0.0,0.016,0.0163934426229508,0.0160183066361556,0.0195729537366548,0.0,0.0528,0.0491803278688524,0.0526315789473684,0.0498220640569395,6.938893903907228e-18,0.0872,0.2786885245901639,0.0961098398169336,0.099644128113879,1.3877787807814457e-17
blogcatalog,4,0.6325602201640281,0.6400746069810819,0.6399813482547296,561,1311,25,60,0.045766590389016,0.0063948840927258,0.0,0.0061022120518688,0.0088967971530249,0.0,0.0119904076738609,0.0,0.011441647597254,0.0195729537366548,1.734723475976807e-18,0.0423661071143085,0.0,0.0404271548436308,0.0498220640569395,0.0,0.0839328537170263,0.0333333333333333,0.0816170861937452,0.099644128113879,0.0
