anomalies_in_C,anomaly_rate,backbone,conformal_auc,contamination_frac,dataset,degree_bin,flagged@0.05,fpr@0.05,method,n_cal,n_normals,n_test,raw_auc_all,runtime_s,seed,study,tpr@0.05
,,degree,0.16762443438914026,,cora,,0.023391812865497075,0.024615384615384615,,,,,0.28039037871917777,0.00011599995195865631,2,backbones,0.0
,,feature_norm,0.24151583710407243,,cora,,0.013157894736842105,0.013846153846153847,,,,,0.2241539635243483,0.021809800004120916,2,backbones,0.0
,,attr_deviation,0.19117647058823528,,cora,,0.019005847953216373,0.02,,,,,0.28786687970520075,0.049930599983781576,2,backbones,0.0
,,cola,0.6664118246687054,,cora,,0.054093567251461985,0.05045871559633028,,,,,0.6808452447783967,1.6457730999682099,3,backbones,0.13333333333333333
,,dominant_style,0.22178899082568806,,cora,,0.07017543859649122,0.07339449541284404,,,,,0.21896042953174708,2.7684246000135317,3,backbones,0.0
,,degree,0.20435779816513763,,cora,,0.05847953216374269,0.05963302752293578,,,,,0.26604194556001787,0.00012339995009824634,3,backbones,0.03333333333333333
,,feature_norm,0.2904179408766564,,cora,,0.06286549707602339,0.06574923547400612,,,,,0.2783262080580386,0.024603899975772947,3,backbones,0.0
,,attr_deviation,0.3054026503567788,,cora,,0.04093567251461988,0.04281345565749235,,,,,0.30944134962790226,0.05183740000938997,3,backbones,0.0
,,cola,0.6442258000397535,,cora,,0.049707602339181284,0.04961240310077519,,,,,0.6738898245310994,1.627817899978254,4,backbones,0.05128205128205128
,,dominant_style,0.13563903796461935,,cora,,0.049707602339181284,0.05271317829457364,,,,,0.21048782945401678,2.043771900003776,4,backbones,0.0
,,degree,0.3899622341482807,,cora,,0.054093567251461985,0.05271317829457364,,,,,0.27522851261677533,0.00014050002209842205,4,backbones,0.07692307692307693
,,feature_norm,0.13390975949115483,,cora,,0.043859649122807015,0.046511627906976744,,,,,0.25042967569201535,0.022686899988912046,4,backbones,0.0
,,attr_deviation,0.2655734446432121,,cora,,0.05116959064327485,0.05426356589147287,,,,,0.2861683292309021,0.05151210003532469,4,backbones,0.0
,,cola,0.7541567332966563,,citeseer,,0.03098927294398093,0.02506265664160401,,,,,0.7614164344819963,4.250084900006186,0,backbones,0.14634146341463414
,,dominant_style,0.19373127941805737,,citeseer,,0.03456495828367104,0.03634085213032581,,,,,0.1989590757843141,6.519612199976109,0,backbones,0.0
,,degree,0.2804725227703405,,citeseer,,0.027413587604290822,0.02631578947368421,,,,,0.24621802616984864,0.00014540000120177865,0,backbones,0.04878048780487805
,,feature_norm,0.22171281863194575,,citeseer,,0.03456495828367104,0.03383458646616541,,,,,0.2465439105361655,0.0810545000131242,0,backbones,0.04878048780487805
,,attr_deviation,0.3064979521975671,,citeseer,,0.03694874851013111,0.03884711779448621,,,,,0.26034539931316536,0.17058089998317882,0,backbones,0.0
,,cola,0.7028846153846153,,citeseer,,0.052443384982121574,0.04125,,,,,0.7629639087828695,4.116205299971625,1,backbones,0.28205128205128205
,,dominant_style,0.2058974358974359,,citeseer,,0.04767580452920143,0.05,,,,,0.2108814886245393,11.37528120004572,1,backbones,0.0
,,degree,0.3040705128205128,,citeseer,,0.03694874851013111,0.0375,,,,,0.232971112542546,0.00016700004925951362,1,backbones,0.02564102564102564
,,feature_norm,0.2460576923076923,,citeseer,,0.03814064362336114,0.03875,,,,,0.2636804732374611,0.08209380001062527,1,backbones,0.02564102564102564
,,attr_deviation,0.328125,,citeseer,,0.03814064362336114,0.03875,,,,,0.26762729500729904,0.18461910000769421,1,backbones,0.02564102564102564
,,cola,0.7855805243445693,,citeseer,,0.06793802145411204,0.05368289637952559,,,,,0.7478931861581093,4.152340300031938,2,backbones,0.3684210526315789
,,dominant_style,0.31082856955121885,,citeseer,,0.04290822407628129,0.04369538077403246,,,,,0.2326337936370601,7.148379100020975,2,backbones,0.02631578947368421
,,degree,0.25344963532426573,,citeseer,,0.060786650774731825,0.062421972534332085,,,,,0.25797463819212313,0.00015699997311457992,2,backbones,0.02631578947368421
,,feature_norm,0.3422038241671595,,citeseer,,0.03456495828367104,0.033707865168539325,,,,,0.27013336484184125,0.08256789995357394,2,backbones,0.05263157894736842
,,attr_deviation,0.3243314278204876,,citeseer,,0.07032181168057211,0.07240948813982521,,,,,0.2897321649775311,0.18314189999364316,2,backbones,0.02631578947368421
,,cola,0.7375239540083041,,citeseer,,0.03933253873659118,0.03217821782178218,,,,,0.7591447727004189,4.132016500050668,3,backbones,0.22580645161290322
,,dominant_style,0.17334717342702013,,citeseer,,0.07389749702026222,0.07673267326732673,,,,,0.1948426416834691,6.804675800027326,3,backbones,0.0
,,degree,0.3088669754072182,,citeseer,,0.050059594755661505,0.05198019801980198,,,,,0.244327515693905,0.00014739995822310448,3,backbones,0.0
,,feature_norm,0.1988981156180134,,citeseer,,0.07032181168057211,0.07178217821782178,,,,,0.23260520728913753,0.08538290002616122,3,backbones,0.03225806451612903
,,attr_deviation,0.272297189396359,,citeseer,,0.057210965435041714,0.0594059405940594,,,,,0.26077800604505974,0.1818212000071071,3,backbones,0.0
,,cola,0.7337140175219025,,citeseer,,0.041716328963051254,0.03754693366708386,,,,,0.7630725369049751,4.137738400022499,4,backbones,0.125
,,dominant_style,0.19458698372966204,,citeseer,,0.07032181168057211,0.07384230287859825,,,,,0.22979612216661646,12.787536000018008,4,backbones,0.0
,,degree,0.25134543178973723,,citeseer,,0.03456495828367104,0.03629536921151439,,,,,0.245398550862736,0.00016719999257475138,4,backbones,0.0
,,feature_norm,0.2217459324155194,,citeseer,,0.04886769964243146,0.05006257822277847,,,,,0.26981319774510887,0.09310930001083761,4,backbones,0.025
,,attr_deviation,0.2747340425531915,,citeseer,,0.052443384982121574,0.05506883604505632,,,,,0.2928785690055381,0.19752980000339448,4,backbones,0.0
,,cola,0.7634353821907014,,pubmed,,0.04949698189134809,0.044893617021276595,,,,,0.7556122100566798,7.758833300031256,0,backbones,0.12962962962962962
,,dominant_style,0.6632687155240347,,pubmed,,0.0676056338028169,0.041914893617021276,,,,,0.6645128020022741,30.752907900023274,0,backbones,0.5148148148148148
,,degree,0.23619621749408984,,pubmed,,0.0448692152917505,0.04680851063829787,,,,,0.24968858090230245,0.0009350000182166696,0,backbones,0.011111111111111112
,,feature_norm,0.7476272655634357,,pubmed,,0.0641851106639839,0.03787234042553191,,,,,0.7489140979739874,0.0632459000335075,0,backbones,0.5222222222222223
,,attr_deviation,0.659483451536643,,pubmed,,0.049698189134808855,0.024893617021276595,,,,,0.6585490124665195,0.17838250001659617,0,backbones,0.48148148148148145
,,cola,0.7642029524275644,,pubmed,,0.04889336016096579,0.04267906190576801,,,,,0.7721153085303685,8.228743899962865,1,backbones,0.1729957805907173
,,dominant_style,0.6781218324342685,,pubmed,,0.03963782696177062,0.01648003380519755,,,,,0.6691024669638861,22.053996700036805,1,backbones,0.5021097046413502
,,degree,0.2613426154988629,,pubmed,,0.055533199195171024,0.056834988379463346,,,,,0.23791985483729355,0.0007681999704800546,1,backbones,0.029535864978902954
,,feature_norm,0.7650306983643883,,pubmed,,0.03903420523138833,0.015846186351151488,,,,,0.7551646467241377,0.06506270001409575,1,backbones,0.5021097046413502
,,attr_deviation,0.674996278040618,,pubmed,,0.03822937625754527,0.015846186351151488,,,,,0.665986216480173,0.1796623999834992,1,backbones,0.48523206751054854
,,cola,0.7130302969542638,,pubmed,,0.04768611670020121,0.04017003188097768,,,,,0.7014059927310252,7.419743300008122,2,backbones,0.1811320754716981
,,dominant_style,0.6409014897840515,,pubmed,,0.04929577464788732,0.023379383634431455,,,,,0.6565554641423618,22.72432189999381,2,backbones,0.5094339622641509
,,degree,0.23222946283560242,,pubmed,,0.04386317907444668,0.045058448459086076,,,,,0.2399188771135688,0.0007342000026255846,2,backbones,0.022641509433962263
,,feature_norm,0.7280604736029515,,pubmed,,0.045875251509054325,0.01955366631243358,,,,,0.742483233989232,0.06510479998541996,2,backbones,0.5132075471698113
,,attr_deviation,0.6301958975798528,,pubmed,,0.05130784708249497,0.026567481402763018,,,,,0.652125302557799,0.17329369997605681,2,backbones,0.49056603773584906
,,cola,0.7428278508229842,,pubmed,,0.0454728370221328,0.03815984736061056,,,,,0.7574837597054256,7.67464199999813,3,backbones,0.18181818181818182
,,dominant_style,0.6708520438645518,,pubmed,,0.05150905432595573,0.025439898240407037,,,,,0.6635946955778055,21.964418600022327,3,backbones,0.5375494071146245
,,degree,0.28108741319975433,,pubmed,,0.05593561368209256,0.057239771040915835,,,,,0.2383834064458225,0.0007579000084660947,3,backbones,0.03162055335968379
,,feature_norm,0.7487365939864303,,pubmed,,0.05070422535211268,0.02459190163239347,,,,,0.746656282416907,0.0636991000501439,3,backbones,0.5375494071146245
,,attr_deviation,0.6601087982999846,,pubmed,,0.04567404426559356,0.020563917744329023,,,,,0.6550386374303427,0.17520510003669187,3,backbones,0.5138339920948617
,,cola,0.678019223410534,,pubmed,,0.04104627766599597,0.03419711129991504,,,,,0.6873359846772699,7.570465600001626,4,backbones,0.16412213740458015
,,dominant_style,0.6777727694293294,,pubmed,,0.053923541247484906,0.028462192013593884,,,,,0.6641816549979351,16.2020055000321,4,backbones,0.5114503816793893
,,degree,0.2573676769118019,,pubmed,,0.0454728370221328,0.046516567544604925,,,,,0.24858528146411416,0.0007403999916277826,4,backbones,0.026717557251908396
,,feature_norm,0.7608954548697362,,pubmed,,0.05754527162977867,0.0316482582837723,,,,,0.7490417873916998,0.06631500000366941,4,backbones,0.5229007633587787
,,attr_deviation,0.6709470480650119,,pubmed,,0.05090543259557344,0.02655055225148683,,,,,0.6608480723558914,0.1755175999714993,4,backbones,0.48854961832061067
