anomaly_rate,backbone,conformal_auc,dataset,flagged@0.05,fpr@0.05,raw_auc_all,runtime_s,seed,study,tpr@0.05
0.06646971935007386,cola,0.4677009445055571,organic_cora,0.054093567251461985,0.05754276827371695,0.4951542721518988,4.472023500013165,0,organic,0.0
0.06646971935007386,dominant_style,0.42191708075712175,organic_cora,0.039473684210526314,0.04043545878693624,0.4711805555555555,12.56839959998615,0,organic,0.024390243902439025
0.06646971935007386,attr_deviation,0.4706027386867959,organic_cora,0.05847953216374269,0.060653188180404355,0.47259581575246135,0.14321259991265833,0,organic,0.024390243902439025
0.06646971935007386,degree,0.5571634487729014,organic_cora,0.04678362573099415,0.04821150855365474,0.5069444444444444,0.0002709000837057829,0,organic,0.024390243902439025
0.06646971935007386,cola,0.45568053993250845,organic_cora,0.06725146198830409,0.06771653543307087,0.5234331047819971,5.186541400034912,1,organic,0.061224489795918366
0.06646971935007386,dominant_style,0.47612084203760235,organic_cora,0.04824561403508772,0.047244094488188976,0.4754285337552743,12.78680580004584,1,organic,0.061224489795918366
0.06646971935007386,attr_deviation,0.5429696287964004,organic_cora,0.04532163742690058,0.04566929133858268,0.4725936181434599,0.13980689994059503,1,organic,0.04081632653061224
0.06646971935007386,degree,0.5571267877229632,organic_cora,0.03070175438596491,0.029921259842519685,0.5085926511954993,0.00029609992634505033,1,organic,0.04081632653061224
0.06646971935007386,cola,0.5006675567423231,organic_cora,0.038011695906432746,0.03894080996884735,0.4778107419127988,4.913464399985969,2,organic,0.023809523809523808
0.06646971935007386,dominant_style,0.4663811007268951,organic_cora,0.07456140350877193,0.0778816199376947,0.46031118143459915,13.022331599961035,2,organic,0.023809523809523808
0.06646971935007386,attr_deviation,0.41627725856697817,organic_cora,0.06578947368421052,0.06697819314641744,0.47261339662447255,0.16085570002906024,2,organic,0.047619047619047616
0.06646971935007386,degree,0.43506156356623643,organic_cora,0.033625730994152045,0.03582554517133956,0.5146448663853728,0.00024990004021674395,2,organic,0.0
0.06646971935007386,cola,0.5815740984469597,organic_cora,0.04532163742690058,0.042748091603053436,0.5159370604781996,4.632135900086723,3,organic,0.10344827586206896
0.06646971935007386,dominant_style,0.4648591734667018,organic_cora,0.07163742690058479,0.07480916030534351,0.4640954641350211,11.965345899923705,3,organic,0.0
0.06646971935007386,attr_deviation,0.39494603843116605,organic_cora,0.06578947368421052,0.06870229007633588,0.47258922292545713,0.15023010002914816,3,organic,0.0
0.06646971935007386,degree,0.45872598052118985,organic_cora,0.039473684210526314,0.04122137404580153,0.5132208157524614,0.00022929999977350235,3,organic,0.0
0.06646971935007386,cola,0.5246388762511374,organic_cora,0.04532163742690058,0.04777070063694268,0.48090497538677923,4.736161799984984,4,organic,0.017857142857142856
0.06646971935007386,dominant_style,0.47032813921747046,organic_cora,0.04824561403508772,0.050955414012738856,0.46075729606188465,10.563867099932395,4,organic,0.017857142857142856
0.06646971935007386,attr_deviation,0.47669756596906276,organic_cora,0.05116959064327485,0.052547770700636945,0.47259142053445846,0.1227308000670746,4,organic,0.03571428571428571
0.06646971935007386,degree,0.5239706551410374,organic_cora,0.04093567251461988,0.042993630573248405,0.5165304149085794,0.00020070001482963562,4,organic,0.017857142857142856
0.0793507664562669,cola,0.45982789542663993,organic_citeseer,0.04052443384982122,0.03800786369593709,0.44898297371362994,10.226536600035615,0,organic,0.06578947368421052
0.0793507664562669,dominant_style,0.4716148168586604,organic_citeseer,0.05601907032181168,0.053735255570117955,0.4619171638025702,20.802861399948597,0,organic,0.07894736842105263
0.0793507664562669,attr_deviation,0.5115627371180245,organic_citeseer,0.04767580452920143,0.04849279161205767,0.5061449460323114,0.382575000054203,0,organic,0.039473684210526314
