study,dataset,seed,backbone,raw_auc_all,conformal_auc,fpr@0.05,tpr@0.05,flagged@0.05,runtime_s
backbones,cora,0,conad,0.7205711735832219,0.6850516227831842,0.036753445635528334,0.22580645161290322,0.04532163742690058,39.91975180001464
backbones,cora,1,conad,0.538161247139094,0.4543545917107148,0.06431852986217458,0.0967741935483871,0.06578947368421052,35.62642440001946
backbones,cora,2,conad,0.6227116350707489,0.5738235294117646,0.026153846153846153,0.17647058823529413,0.033625730994152045,36.22792740003206
backbones,cora,3,conad,0.7167681478602582,0.6644750254841998,0.021406727828746176,0.13333333333333333,0.02631578947368421,34.822194800013676
backbones,cora,4,conad,0.7189330799902118,0.7789505068574836,0.037209302325581395,0.358974358974359,0.05555555555555555,34.90128360001836
backbones,citeseer,0,conad,0.8255279898461293,0.8459869185158015,0.05764411027568922,0.4634146341463415,0.07747318235995232,107.57809740002267
backbones,citeseer,1,conad,0.8217564976768827,0.8042628205128206,0.0175,0.1282051282051282,0.02264600715137068,124.75359790003859
backbones,citeseer,2,conad,0.7197184816456589,0.6938695052237336,0.039950062421972535,0.2894736842105263,0.05125148986889154,108.91290580003988
backbones,citeseer,3,conad,0.8333206282898122,0.8188677738741617,0.027227722772277228,0.3225806451612903,0.03814064362336114,100.28515430004336
backbones,citeseer,4,conad,0.7263047762070108,0.7032697121401752,0.03629536921151439,0.375,0.052443384982121574,99.75297010003123
